,discourse_type,discourse_effectiveness,top100_word_prob
0,Claim,Adequate,"[('you', 0.028427), ('student', 0.02302), ('elector', 0.018836), ('if', 0.017166), ('would', 0.016701), ('we', 0.01467), ('i', 0.014394), ('help', 0.01343), ('colleg', 0.012758), ('their', 0.012328), ('will', 0.011415), ('should', 0.010623), ('think', 0.008953), ('presid', 0.008523), ('some', 0.008316), ('but', 0.008247), ('vote', 0.007559), ('venu', 0.0073), ('about', 0.006801), ('phone', 0.006353), ('commun', 0.005785), ('good', 0.005561), ('state', 0.004838), ('learn', 0.004804), ('it', 0.004425), ('elect', 0.004425), ('realli', 0.004287), ('anoth', 0.004218), ('kid', 0.004201), ('say', 0.004201), ('thing', 0.004184), ('teacher', 0.004098), ('feel', 0.004012), ('candid', 0.003581), ('may', 0.003547), ('popular', 0.003512), ('car', 0.003495), ('veri', 0.003409), ('voter', 0.003357), ('idea', 0.00334), ('servic', 0.003323), ('keep', 0.003289), ('activ', 0.003289), ('use', 0.00322), ('might', 0.003185), ('first', 0.003134), ('unfair', 0.003134), ('class', 0.003116), ('be', 0.003116), ('earth', 0.002996), ('project', 0.002944), ('chang', 0.002927), ('human', 0.002893), ('onlin', 0.002824), ('problem', 0.002807), ('go', 0.002772), ('comput', 0.002755), ('new', 0.002738), ('life', 0.002703), ('studi', 0.002565), ('cell', 0.002548), ('allow', 0.002514), ('much', 0.002497), ('opinion', 0.002462), ('been', 0.002445), ('look', 0.002376), ('which', 0.002376), ('author', 0.002324), ('tell', 0.002307), ('everyon', 0.002307), ('let', 0.002307), ('choos', 0.002256), ('landform', 0.002187), ('friend', 0.002187), ('actual', 0.002169), ('doe', 0.002169), ('dont', 0.002152), ('danger', 0.002135), ('fair', 0.002135), ('right', 0.002083), ('these', 0.002066), ('believ', 0.002066), ('place', 0.002066), ('while', 0.002049), ('nasa', 0.002032), ('dure', 0.00198), ('tri', 0.001963), ('off', 0.001963), ('own', 0.001946), ('he', 0.001946), ('still', 0.001911), ('reason', 0.001842), ('world', 0.001825), ('less', 0.001825), ('best', 0.001808), ('had', 0.001808), ('benefit', 0.001808), ('second', 0.001791), ('pick', 0.001791), ('sport', 0.001756)]"
1,Claim,Effective,"[('student', 0.040019), ('their', 0.021628), ('you', 0.018149), ('would', 0.017998), ('will', 0.016032), ('project', 0.012463), ('learn', 0.012402), ('help', 0.011918), ('elector', 0.011706), ('if', 0.011374), ('colleg', 0.008228), ('should', 0.008046), ('teacher', 0.00729), ('commun', 0.006473), ('we', 0.006473), ('allow', 0.006322), ('car', 0.006292), ('but', 0.005868), ('some', 0.005445), ('i', 0.005233), ('may', 0.005173), ('vote', 0.005173), ('onlin', 0.004991), ('activ', 0.00487), ('be', 0.004719), ('own', 0.004689), ('presid', 0.004537), ('class', 0.004507), ('design', 0.004295), ('servic', 0.004265), ('which', 0.004084), ('opinion', 0.004023), ('anoth', 0.003993), ('state', 0.003902), ('about', 0.003842), ('good', 0.0036), ('elect', 0.003569), ('new', 0.003448), ('these', 0.003448), ('idea', 0.003327), ('think', 0.003237), ('while', 0.003146), ('benefit', 0.003146), ('ask', 0.003116), ('advic', 0.003055), ('less', 0.003025), ('give', 0.003025), ('phone', 0.003025), ('educ', 0.002934), ('veri', 0.002904), ('problem', 0.002904), ('venu', 0.002904), ('environ', 0.002843), ('experi', 0.002843), ('life', 0.002813), ('doe', 0.002662), ('school', 0.002662), ('thing', 0.002632), ('use', 0.002601), ('feel', 0.002571), ('kid', 0.002571), ('assign', 0.002541), ('interest', 0.002541), ('candid', 0.002511), ('much', 0.00248), ('multipl', 0.00248), ('popular', 0.00248), ('voter', 0.00245), ('year', 0.00242), ('first', 0.00239), ('becom', 0.002359), ('skill', 0.002359), ('provid', 0.002299), ('human', 0.002269), ('well', 0.002238), ('choos', 0.002208), ('come', 0.002208), ('choic', 0.002178), ('decis', 0.002178), ('option', 0.002148), ('classroom', 0.002148), ('still', 0.002148), ('requir', 0.002117), ('those', 0.002117), ('go', 0.002027), ('topic', 0.001996), ('extracurricular', 0.001996), ('keep', 0.001966), ('chang', 0.001966), ('best', 0.001936), ('themselv', 0.001936), ('opportun', 0.001936), ('chanc', 0.001936), ('possibl', 0.001906), ('distract', 0.001906), ('benefici', 0.001906), ('stress', 0.001875), ('creativ', 0.001875), ('live', 0.001875), ('social', 0.001875)]"
2,Claim,Ineffective,"[('i', 0.02422), ('we', 0.022411), ('elector', 0.021467), ('you', 0.020917), ('if', 0.018165), ('would', 0.015963), ('think', 0.015491), ('colleg', 0.014312), ('presid', 0.014154), ('venu', 0.013053), ('vote', 0.012896), ('should', 0.011874), ('but', 0.011088), ('student', 0.010537), ('help', 0.009751), ('about', 0.009672), ('will', 0.008257), ('their', 0.007706), ('some', 0.007156), ('good', 0.006684), ('feel', 0.006527), ('it', 0.006448), ('say', 0.00574), ('look', 0.005426), ('state', 0.005347), ('popular', 0.004561), ('first', 0.004404), ('candid', 0.004246), ('thing', 0.004168), ('go', 0.004168), ('idea', 0.004089), ('keep', 0.003932), ('dont', 0.003932), ('alien', 0.003853), ('earth', 0.003774), ('veri', 0.003774), ('realli', 0.003774), ('comput', 0.003774), ('elect', 0.003774), ('he', 0.003696), ('right', 0.003539), ('anoth', 0.00346), ('chang', 0.00346), ('human', 0.003381), ('tell', 0.003303), ('learn', 0.003303), ('believ', 0.003303), ('nasa', 0.003145), ('studi', 0.003067), ('new', 0.003067), ('tri', 0.003067), ('life', 0.002988), ('be', 0.002988), ('commun', 0.002988), ('choos', 0.002988), ('author', 0.002909), ('might', 0.002752), ('class', 0.002752), ('made', 0.002674), ('use', 0.002595), ('kid', 0.002595), ('phone', 0.002516), ('doe', 0.002438), ('talk', 0.002438), ('much', 0.002438), ('everyon', 0.002438), ('reason', 0.002438), ('citizen', 0.002438), ('read', 0.002359), ('onlin', 0.002359), ('process', 0.00228), ('show', 0.00228), ('too', 0.002202), ('mean', 0.002202), ('place', 0.002202), ('second', 0.002202), ('off', 0.002045), ('express', 0.002045), ('may', 0.002045), ('which', 0.001966), ('world', 0.001966), ('big', 0.001966), ('actual', 0.001966), ('facial', 0.001887), ('teacher', 0.001887), ('come', 0.001887), ('car', 0.001887), ('me', 0.001887), ('had', 0.001809), ('live', 0.001809), ('last', 0.001809), ('those', 0.001809), ('best', 0.00173), ('form', 0.00173), ('danger', 0.00173), ('these', 0.00173), ('run', 0.00173), ('pick', 0.00173), ('happi', 0.001651), ('articl', 0.001651)]"
3,Concluding Statement,Adequate,"[('you', 0.03144), ('i', 0.028816), ('student', 0.020121), ('we', 0.01843), ('should', 0.018235), ('will', 0.015308), ('would', 0.014896), ('if', 0.013378), ('elector', 0.012966), ('think', 0.012793), ('but', 0.012576), ('help', 0.011015), ('colleg', 0.010147), ('their', 0.009258), ('about', 0.007524), ('conclus', 0.007285), ('venu', 0.00683), ('good', 0.006765), ('some', 0.006331), ('learn', 0.005984), ('presid', 0.005204), ('vote', 0.00516), ('these', 0.004879), ('believ', 0.004683), ('car', 0.004683), ('idea', 0.004662), ('life', 0.00464), ('chang', 0.004618), ('thing', 0.004423), ('project', 0.004402), ('commun', 0.004293), ('opinion', 0.004228), ('it', 0.00412), ('keep', 0.004076), ('realli', 0.004076), ('say', 0.004033), ('teacher', 0.004011), ('reason', 0.00399), ('activ', 0.003968), ('popular', 0.003946), ('veri', 0.003925), ('phone', 0.003773), ('feel', 0.003708), ('new', 0.003621), ('best', 0.003448), ('ask', 0.003209), ('great', 0.003122), ('tri', 0.003101), ('may', 0.003057), ('use', 0.003057), ('go', 0.002971), ('advic', 0.002905), ('studi', 0.002884), ('danger', 0.002862), ('be', 0.002819), ('elect', 0.002797), ('landform', 0.002754), ('might', 0.002732), ('onlin', 0.002732), ('kid', 0.002689), ('human', 0.002689), ('hope', 0.002667), ('everyon', 0.002645), ('class', 0.002645), ('world', 0.00258), ('futur', 0.002559), ('alien', 0.002537), ('choic', 0.002515), ('state', 0.002493), ('servic', 0.002472), ('look', 0.002428), ('live', 0.002428), ('benefit', 0.002363), ('natur', 0.002342), ('right', 0.002342), ('let', 0.00232), ('much', 0.002255), ('school', 0.002255), ('comput', 0.002212), ('earth', 0.00219), ('bad', 0.002168), ('problem', 0.002147), ('author', 0.002125), ('those', 0.002125), ('come', 0.002103), ('made', 0.002082), ('read', 0.002038), ('while', 0.002038), ('place', 0.002016), ('own', 0.002016), ('me', 0.001995), ('doe', 0.001951), ('still', 0.001951), ('dont', 0.001951), ('multipl', 0.001951), ('choos', 0.001951), ('allow', 0.001886), ('extracurricular', 0.001865), ('well', 0.001865), ('been', 0.001843)]"
4,Concluding Statement,Effective,"[('student', 0.034797), ('you', 0.018597), ('their', 0.017505), ('would', 0.015747), ('will', 0.014867), ('should', 0.014334), ('learn', 0.012523), ('project', 0.01119), ('help', 0.010338), ('i', 0.009459), ('but', 0.008526), ('if', 0.008499), ('teacher', 0.00778), ('elector', 0.00778), ('we', 0.00738), ('colleg', 0.007007), ('onlin', 0.005515), ('car', 0.005462), ('benefit', 0.005302), ('educ', 0.005116), ('opinion', 0.004902), ('life', 0.004609), ('best', 0.004556), ('allow', 0.004529), ('idea', 0.004476), ('advic', 0.00445), ('about', 0.004423), ('these', 0.004423), ('be', 0.00429), ('may', 0.00429), ('school', 0.004156), ('think', 0.004103), ('new', 0.00389), ('choic', 0.00389), ('vote', 0.00389), ('some', 0.003863), ('ask', 0.003863), ('while', 0.003837), ('decis', 0.00381), ('venu', 0.00381), ('chang', 0.003757), ('class', 0.003704), ('veri', 0.003624), ('conclus', 0.003597), ('activ', 0.00349), ('good', 0.00349), ('design', 0.003464), ('commun', 0.003304), ('futur', 0.003277), ('well', 0.003171), ('multipl', 0.003117), ('year', 0.002931), ('own', 0.002851), ('right', 0.002851), ('which', 0.002798), ('world', 0.002771), ('come', 0.002691), ('use', 0.002611), ('assign', 0.002611), ('believ', 0.002611), ('state', 0.002611), ('doe', 0.002558), ('benefici', 0.002558), ('presid', 0.002558), ('popular', 0.002558), ('problem', 0.002505), ('elect', 0.002478), ('experi', 0.002425), ('thing', 0.002345), ('interest', 0.002291), ('feel', 0.002291), ('still', 0.002265), ('alway', 0.002238), ('need', 0.002238), ('live', 0.002211), ('student-design', 0.002185), ('go', 0.002158), ('phone', 0.002158), ('keep', 0.002105), ('much', 0.002105), ('danger', 0.002105), ('classroom', 0.002105), ('author', 0.002105), ('way', 0.002105), ('been', 0.002105), ('tri', 0.002078), ('requir', 0.002052), ('great', 0.002052), ('option', 0.002052), ('reason', 0.002025), ('provid', 0.001998), ('give', 0.001972), ('everyon', 0.001972), ('skill', 0.001972), ('becom', 0.001945), ('servic', 0.001945), ('stress', 0.001918), ('through', 0.001918), ('support', 0.001918), ('less', 0.001892)]"
5,Concluding Statement,Ineffective,"[('i', 0.044127), ('you', 0.033799), ('we', 0.023576), ('think', 0.019195), ('should', 0.018986), ('but', 0.017317), ('if', 0.016169), ('about', 0.0145), ('will', 0.012623), ('elector', 0.011266), ('venu', 0.011162), ('would', 0.011162), ('colleg', 0.009284), ('student', 0.008033), ('conclus', 0.00772), ('help', 0.006989), ('good', 0.006781), ('some', 0.006155), ('their', 0.005842), ('say', 0.005633), ('it', 0.005425), ('realli', 0.005007), ('commun', 0.004903), ('presid', 0.004903), ('chang', 0.00459), ('danger', 0.004486), ('life', 0.004486), ('let', 0.004486), ('thing', 0.004486), ('opinion', 0.004486), ('these', 0.004277), ('vote', 0.004277), ('keep', 0.004173), ('tell', 0.004068), ('feel', 0.004068), ('tri', 0.004068), ('human', 0.003964), ('veri', 0.003964), ('believ', 0.00386), ('alien', 0.003755), ('me', 0.003755), ('earth', 0.003651), ('live', 0.003651), ('hope', 0.003651), ('reason', 0.003443), ('come', 0.003338), ('go', 0.003338), ('look', 0.00313), ('comput', 0.00313), ('idea', 0.00313), ('studi', 0.00313), ('read', 0.00313), ('well', 0.00313), ('he', 0.00313), ('servic', 0.00313), ('smile', 0.003025), ('phone', 0.003025), ('right', 0.003025), ('dont', 0.002921), ('everyon', 0.002921), ('bad', 0.002817), ('mayb', 0.002817), ('learn', 0.002712), ('elect', 0.002712), ('still', 0.002608), ('those', 0.002504), ('said', 0.002504), ('put', 0.002295), ('limit', 0.002295), ('world', 0.002295), ('may', 0.002295), ('activ', 0.002191), ('new', 0.002191), ('express', 0.002191), ('stori', 0.002191), ('might', 0.002191), ('that', 0.002191), ('popular', 0.002191), ('explor', 0.002086), ('use', 0.002086), ('best', 0.002086), ('state', 0.002086), ('real', 0.001982), ('back', 0.001982), ('great', 0.001982), ('choos', 0.001982), ('be', 0.001982), ('hard', 0.001878), ('happi', 0.001878), ('mean', 0.001878), ('happen', 0.001878), ('nasa', 0.001878), ('alot', 0.001878), ('kid', 0.001878), ('polici', 0.001878), ('challeng', 0.001773), ('sure', 0.001773), ('been', 0.001773), ('never', 0.001773), ('talk', 0.001669)]"
6,Counterclaim,Adequate,"[('some', 0.028248), ('elector', 0.025795), ('student', 0.024134), ('you', 0.020494), ('colleg', 0.019465), ('i', 0.014876), ('would', 0.014876), ('may', 0.014797), ('their', 0.013451), ('say', 0.012423), ('but', 0.012106), ('think', 0.011948), ('if', 0.010445), ('might', 0.009337), ('will', 0.00902), ('vote', 0.008229), ('we', 0.007438), ('presid', 0.007201), ('good', 0.006726), ('about', 0.006093), ('should', 0.005855), ('elect', 0.005855), ('help', 0.005697), ('learn', 0.005618), ('it', 0.005539), ('onlin', 0.00546), ('phone', 0.005381), ('believ', 0.005301), ('argu', 0.005301), ('class', 0.005222), ('although', 0.005143), ('teacher', 0.004906), ('state', 0.004827), ('still', 0.004748), ('commun', 0.004431), ('though', 0.004273), ('candid', 0.004273), ('alien', 0.004035), ('life', 0.003956), ('bad', 0.003719), ('project', 0.003719), ('popular', 0.00364), ('problem', 0.003561), ('voter', 0.003561), ('doe', 0.003482), ('idea', 0.003482), ('car', 0.003402), ('be', 0.003323), ('servic', 0.003165), ('use', 0.003086), ('go', 0.003007), ('keep', 0.002928), ('feel', 0.002928), ('anoth', 0.002928), ('method', 0.002849), ('unfair', 0.002849), ('reason', 0.002769), ('these', 0.00269), ('while', 0.00269), ('veri', 0.00269), ('which', 0.00269), ('kid', 0.00269), ('howev', 0.002611), ('thing', 0.002611), ('realli', 0.002453), ('agre', 0.002453), ('ye', 0.002453), ('much', 0.002453), ('wrong', 0.002453), ('possibl', 0.002374), ('great', 0.002374), ('understand', 0.002374), ('avoid', 0.002374), ('dont', 0.002295), ('cell', 0.002295), ('mayb', 0.002216), ('major', 0.002216), ('best', 0.002216), ('hand', 0.002136), ('stay', 0.002136), ('chang', 0.002136), ('tri', 0.002057), ('well', 0.002057), ('sometim', 0.002057), ('off', 0.002057), ('allow', 0.002057), ('thought', 0.001978), ('own', 0.001978), ('select', 0.001978), ('design', 0.001978), ('too', 0.001978), ('actual', 0.001978), ('benefit', 0.001978), ('receiv', 0.001899), ('look', 0.001899), ('made', 0.00182), ('he', 0.00182), ('those', 0.00182), ('activ', 0.00182), ('argument', 0.00182)]"
7,Counterclaim,Effective,"[('student', 0.039656), ('some', 0.025004), ('may', 0.022297), ('project', 0.020385), ('their', 0.016882), ('would', 0.016085), ('elector', 0.016085), ('teacher', 0.014174), ('learn', 0.014174), ('say', 0.012104), ('argu', 0.012104), ('colleg', 0.011785), ('will', 0.011626), ('state', 0.009237), ('design', 0.008919), ('might', 0.008759), ('if', 0.008441), ('should', 0.007645), ('you', 0.006848), ('i', 0.00637), ('onlin', 0.005733), ('vote', 0.005574), ('think', 0.005256), ('although', 0.005256), ('elect', 0.005256), ('assign', 0.005096), ('believ', 0.004937), ('own', 0.004778), ('these', 0.004778), ('car', 0.004778), ('howev', 0.004459), ('understand', 0.0043), ('which', 0.0043), ('doe', 0.004141), ('help', 0.004141), ('candid', 0.004141), ('but', 0.003822), ('allow', 0.003822), ('student-design', 0.003822), ('problem', 0.003663), ('while', 0.003504), ('benefit', 0.003504), ('claim', 0.003504), ('possibl', 0.003504), ('commun', 0.003504), ('less', 0.003344), ('good', 0.003344), ('be', 0.003344), ('voter', 0.003344), ('presid', 0.003344), ('class', 0.003344), ('benefici', 0.003185), ('much', 0.003185), ('hand', 0.003026), ('sourc', 0.002867), ('such', 0.002867), ('popular', 0.002867), ('teacher-design', 0.002707), ('chanc', 0.002707), ('educ', 0.002707), ('idea', 0.002548), ('it', 0.002548), ('school', 0.002548), ('provid', 0.002548), ('dure', 0.002389), ('activ', 0.002389), ('themselv', 0.002389), ('those', 0.002389), ('we', 0.002389), ('he', 0.002389), ('year', 0.00223), ('particip', 0.00223), ('receiv', 0.00223), ('keep', 0.00223), ('still', 0.00223), ('about', 0.00223), ('win', 0.00223), ('swing', 0.00223), ('inform', 0.00207), ('too', 0.00207), ('go', 0.00207), ('best', 0.00207), ('argument', 0.00207), ('major', 0.00207), ('servic', 0.00207), ('support', 0.001911), ('focu', 0.001752), ('off', 0.001752), ('feel', 0.001752), ('true', 0.001752), ('kid', 0.001752), ('due', 0.001752), ('veri', 0.001752), ('avoid', 0.001752), ('made', 0.001593), ('lack', 0.001593), ('topic', 0.001593), ('cours', 0.001593), ('human', 0.001593), ('agre', 0.001593)]"
8,Counterclaim,Ineffective,"[('elector', 0.036567), ('some', 0.026409), ('colleg', 0.02387), ('i', 0.023362), ('you', 0.021331), ('say', 0.018283), ('think', 0.018283), ('but', 0.015744), ('vote', 0.015744), ('would', 0.014728), ('if', 0.013713), ('student', 0.012697), ('presid', 0.012189), ('good', 0.010665), ('might', 0.010157), ('should', 0.010157), ('state', 0.010157), ('may', 0.009142), ('their', 0.008634), ('will', 0.008634), ('we', 0.008126), ('look', 0.007618), ('alien', 0.007618), ('popular', 0.007618), ('elect', 0.007618), ('candid', 0.007618), ('help', 0.00711), ('believ', 0.006602), ('about', 0.006602), ('it', 0.006602), ('realli', 0.006094), ('dont', 0.005587), ('hand', 0.005079), ('teacher', 0.005079), ('though', 0.005079), ('chang', 0.005079), ('ye', 0.005079), ('which', 0.004571), ('benefit', 0.004571), ('made', 0.004571), ('class', 0.004571), ('human', 0.004063), ('wrong', 0.004063), ('doe', 0.004063), ('best', 0.004063), ('go', 0.004063), ('method', 0.004063), ('keep', 0.004063), ('choos', 0.004063), ('idea', 0.003555), ('problem', 0.003555), ('everyon', 0.003555), ('mayb', 0.003555), ('understand', 0.003555), ('win', 0.003555), ('onlin', 0.003555), ('mean', 0.003047), ('world', 0.003047), ('tri', 0.003047), ('thing', 0.003047), ('phone', 0.003047), ('life', 0.003047), ('learn', 0.003047), ('sourc', 0.003047), ('defens', 0.003047), ('still', 0.003047), ('sure', 0.002539), ('anoth', 0.002539), ('use', 0.002539), ('side', 0.002539), ('that', 0.002539), ('reason', 0.002539), ('possibl', 0.002539), ('govern', 0.002539), ('argu', 0.002539), ('like', 0.002031), ('ca', 0.002031), ('anyth', 0.002031), ('these', 0.002031), ('be', 0.002031), ('creat', 0.002031), ('veri', 0.002031), ('great', 0.002031), ('bad', 0.002031), ('stay', 0.002031), ('well', 0.002031), ('thought', 0.002031), ('run', 0.002031), ('project', 0.002031), ('year', 0.002031), ('although', 0.002031), ('everyth', 0.002031), ('collag', 0.002031), ('got', 0.002031), ('select', 0.002031), ('requir', 0.002031), ('happen', 0.002031), ('sometim', 0.002031), ('polit', 0.002031), ('avoid', 0.002031)]"
9,Evidence,Adequate,"[('you', 0.028347), ('if', 0.016407), ('would', 0.014706), ('student', 0.014139), ('i', 0.013121), ('elector', 0.012624), ('we', 0.011332), ('but', 0.011022), ('their', 0.010467), ('will', 0.010157), ('help', 0.007923), ('vote', 0.00704), ('some', 0.006882), ('presid', 0.00666), ('about', 0.006204), ('state', 0.00614), ('venu', 0.005812), ('colleg', 0.005754), ('should', 0.005531), ('say', 0.005298), ('think', 0.005052), ('teacher', 0.004268), ('good', 0.004134), ('car', 0.004052), ('candid', 0.003947), ('he', 0.003888), ('phone', 0.003795), ('elect', 0.003701), ('had', 0.003508), ('learn', 0.003467), ('thing', 0.00345), ('exampl', 0.003391), ('feel', 0.003321), ('go', 0.003304), ('which', 0.003298), ('it', 0.003263), ('friend', 0.003163), ('project', 0.00314), ('look', 0.003122), ('might', 0.003011), ('human', 0.002994), ('kid', 0.002941), ('may', 0.0029), ('be', 0.002813), ('these', 0.002766), ('veri', 0.002766), ('much', 0.002701), ('commun', 0.00269), ('new', 0.002666), ('realli', 0.002649), ('comput', 0.00262), ('life', 0.002584), ('popular', 0.002462), ('use', 0.002432), ('earth', 0.002427), ('tri', 0.002421), ('been', 0.002362), ('voter', 0.002339), ('tell', 0.002245), ('happen', 0.002222), ('year', 0.002169), ('ask', 0.002163), ('paragraph', 0.002128), ('come', 0.002111), ('doe', 0.002105), ('play', 0.00207), ('anoth', 0.002052), ('own', 0.002052), ('mean', 0.002029), ('said', 0.002017), ('talk', 0.002006), ('dont', 0.001982), ('win', 0.001976), ('activ', 0.001965), ('percent', 0.001959), ('chang', 0.00193), ('studi', 0.001883), ('hi', 0.001871), ('text', 0.001871), ('me', 0.001854), ('while', 0.001818), ('keep', 0.001813), ('still', 0.001807), ('driver', 0.001795), ('place', 0.001789), ('class', 0.001783), ('well', 0.001766), ('problem', 0.001766), ('allow', 0.001766), ('idea', 0.001754), ('right', 0.001748), ('those', 0.001719), ('made', 0.001719), ('bad', 0.001719), ('everyon', 0.001702), ('dure', 0.001684), ('first', 0.001666), ('live', 0.001661), ('let', 0.001661), ('call', 0.001643)]"
