,discourse_type,discourse_effectiveness,top100_word_prob
10,Evidence,Effective,"[('student', 0.02783), ('you', 0.018545), ('their', 0.017923), ('would', 0.015822), ('if', 0.01299), ('i', 0.012212), ('will', 0.010733), ('project', 0.008033), ('but', 0.007926), ('teacher', 0.00777), ('help', 0.007614), ('learn', 0.007483), ('elector', 0.006525), ('about', 0.005878), ('may', 0.005016), ('we', 0.004992), ('state', 0.004609), ('some', 0.004555), ('these', 0.004442), ('which', 0.004388), ('exampl', 0.003969), ('had', 0.003909), ('colleg', 0.003903), ('friend', 0.003831), ('should', 0.003753), ('ask', 0.003741), ('onlin', 0.003699), ('he', 0.003664), ('vote', 0.00349), ('activ', 0.00334), ('while', 0.003328), ('assign', 0.003298), ('be', 0.003233), ('year', 0.003119), ('she', 0.003065), ('veri', 0.003023), ('say', 0.003011), ('think', 0.003005), ('allow', 0.002975), ('car', 0.002957), ('own', 0.002867), ('candid', 0.002867), ('much', 0.002861), ('her', 0.002814), ('class', 0.002784), ('feel', 0.002766), ('new', 0.00273), ('commun', 0.002658), ('good', 0.002622), ('thing', 0.002592), ('advic', 0.002562), ('me', 0.00255), ('use', 0.002514), ('presid', 0.002502), ('life', 0.002424), ('anoth', 0.002383), ('might', 0.002335), ('opinion', 0.002329), ('driver', 0.002275), ('come', 0.002245), ('idea', 0.002239), ('such', 0.002221), ('been', 0.002215), ('doe', 0.002209), ('go', 0.002209), ('through', 0.002161), ('venu', 0.002155), ('school', 0.002131), ('elect', 0.002095), ('problem', 0.002083), ('kid', 0.002077), ('decis', 0.002071), ('understand', 0.002047), ('those', 0.002041), ('hi', 0.002035), ('best', 0.002023), ('well', 0.001981), ('tri', 0.001981), ('inform', 0.001969), ('experi', 0.001963), ('phone', 0.00194), ('stress', 0.00188), ('choic', 0.001874), ('design', 0.001856), ('educ', 0.001832), ('without', 0.001736), ('human', 0.001736), ('interest', 0.001718), ('still', 0.001712), ('like', 0.001682), ('look', 0.00167), ('becom', 0.001664), ('less', 0.001658), ('requir', 0.001646), ('alway', 0.00164), ('howev', 0.00164), ('generic_nam', 0.00164), ('topic', 0.001634), ('studi', 0.001634), ('skill', 0.001616)]"
11,Evidence,Ineffective,"[('you', 0.021661), ('elector', 0.019952), ('i', 0.014033), ('we', 0.013469), ('if', 0.01302), ('but', 0.012729), ('presid', 0.011733), ('would', 0.011143), ('venu', 0.009258), ('vote', 0.008254), ('colleg', 0.007479), ('will', 0.007259), ('their', 0.006378), ('he', 0.00629), ('some', 0.005999), ('about', 0.00577), ('state', 0.005435), ('think', 0.005382), ('say', 0.005232), ('candid', 0.004995), ('should', 0.004977), ('elect', 0.004898), ('help', 0.004818), ('student', 0.004589), ('it', 0.004493), ('earth', 0.004087), ('human', 0.004079), ('had', 0.003894), ('car', 0.003682), ('go', 0.00348), ('percent', 0.003391), ('look', 0.003303), ('good', 0.003286), ('comput', 0.003215), ('hi', 0.00311), ('thing', 0.00311), ('realli', 0.002977), ('which', 0.002907), ('popular', 0.002845), ('year', 0.002704), ('new', 0.002651), ('dont', 0.002599), ('feel', 0.002555), ('been', 0.002555), ('luke', 0.002458), ('happi', 0.00244), ('life', 0.002422), ('much', 0.002378), ('said', 0.002343), ('veri', 0.002299), ('me', 0.002273), ('world', 0.002246), ('tri', 0.002211), ('these', 0.002202), ('right', 0.002141), ('place', 0.002114), ('exampl', 0.002052), ('may', 0.002052), ('presidenti', 0.002044), ('express', 0.002035), ('happen', 0.002035), ('live', 0.002026), ('tell', 0.002008), ('muscl', 0.002), ('call', 0.002), ('mean', 0.002), ('voter', 0.001991), ('she', 0.001973), ('nasa', 0.001973), ('still', 0.001956), ('be', 0.001947), ('win', 0.001947), ('phone', 0.001929), ('might', 0.00192), ('own', 0.001885), ('use', 0.001876), ('come', 0.001867), ('countri', 0.001867), ('smile', 0.00185), ('first', 0.00185), ('major', 0.001841), ('made', 0.001832), ('got', 0.001823), ('facial', 0.001815), ('chang', 0.001815), ('unit', 0.001797), ('surfac', 0.001735), ('him', 0.001709), ('friend', 0.0017), ('anoth', 0.0017), ('paragraph', 0.0017), ('studi', 0.001682), ('back', 0.001665), ('two', 0.001647), ('talk', 0.00163), ('her', 0.001621), ('show', 0.001594), ('keep', 0.001586), ('select', 0.001586), ('want', 0.001577)]"
12,Lead,Adequate,"[('you', 0.031779), ('i', 0.020241), ('student', 0.019619), ('elector', 0.016239), ('colleg', 0.012199), ('we', 0.011849), ('some', 0.011577), ('but', 0.010761), ('about', 0.010451), ('think', 0.010023), ('if', 0.009635), ('would', 0.009363), ('presid', 0.009363), ('should', 0.008741), ('their', 0.008741), ('venu', 0.008547), ('car', 0.007848), ('learn', 0.007226), ('project', 0.006294), ('been', 0.005711), ('vote', 0.005012), ('will', 0.004973), ('help', 0.004856), ('school', 0.004779), ('new', 0.004662), ('human', 0.004584), ('say', 0.004545), ('alien', 0.004507), ('year', 0.004429), ('elect', 0.004351), ('look', 0.004002), ('class', 0.003807), ('veri', 0.00373), ('be', 0.00373), ('phone', 0.00373), ('feel', 0.00373), ('commun', 0.003652), ('well', 0.003613), ('believ', 0.003613), ('it', 0.003497), ('keep', 0.003497), ('chang', 0.003458), ('good', 0.003458), ('comput', 0.003419), ('articl', 0.003419), ('may', 0.00338), ('state', 0.00338), ('activ', 0.003302), ('use', 0.003263), ('idea', 0.003225), ('read', 0.003186), ('teacher', 0.003186), ('creat', 0.003147), ('ever', 0.003147), ('life', 0.003108), ('tell', 0.003108), ('popular', 0.003108), ('call', 0.00303), ('facial', 0.00303), ('realli', 0.002991), ('onlin', 0.002991), ('nasa', 0.002953), ('author', 0.002953), ('break', 0.002914), ('these', 0.002914), ('earth', 0.002836), ('talk', 0.002836), ('advic', 0.002836), ('process', 0.002797), ('made', 0.00272), ('found', 0.00272), ('opinion', 0.00272), ('thing', 0.002681), ('ask', 0.002681), ('go', 0.002603), ('requir', 0.002603), ('come', 0.002448), ('world', 0.002409), ('had', 0.002409), ('action', 0.002409), ('tri', 0.002409), ('studi', 0.002409), ('dure', 0.002409), ('while', 0.00237), ('unit', 0.00237), ('servic', 0.002292), ('whether', 0.002214), ('everyon', 0.002176), ('doe', 0.002137), ('code', 0.002137), ('right', 0.002137), ('mona', 0.002098), ('lisa', 0.002098), ('danger', 0.002098), ('cell', 0.002059), ('assign', 0.00202), ('today', 0.00202), ('place', 0.001981), ('live', 0.001981), ('sometim', 0.001981)]"
13,Lead,Effective,"[('student', 0.025706), ('you', 0.021899), ('their', 0.015981), ('i', 0.011081), ('learn', 0.011044), ('elector', 0.010064), ('project', 0.009838), ('but', 0.009536), ('some', 0.008782), ('colleg', 0.008556), ('would', 0.007991), ('we', 0.007915), ('should', 0.006257), ('help', 0.00588), ('school', 0.00588), ('if', 0.00588), ('presid', 0.005767), ('teacher', 0.005729), ('ask', 0.005428), ('year', 0.005352), ('been', 0.005051), ('about', 0.004938), ('onlin', 0.0049), ('will', 0.004636), ('educ', 0.004485), ('new', 0.004448), ('these', 0.00441), ('while', 0.004372), ('may', 0.004297), ('howev', 0.004184), ('activ', 0.004184), ('think', 0.004146), ('advic', 0.004071), ('car', 0.003995), ('vote', 0.003995), ('class', 0.003882), ('phone', 0.003807), ('break', 0.003769), ('assign', 0.003769), ('world', 0.003769), ('life', 0.003204), ('use', 0.003204), ('veri', 0.003204), ('be', 0.003128), ('come', 0.003128), ('which', 0.003128), ('state', 0.003128), ('elect', 0.003128), ('opinion', 0.00294), ('commun', 0.002827), ('chang', 0.002676), ('believ', 0.002638), ('whether', 0.002601), ('generic_nam', 0.002563), ('say', 0.002563), ('idea', 0.002563), ('popular', 0.002563), ('such', 0.002488), ('decis', 0.002488), ('me', 0.00245), ('dure', 0.002412), ('own', 0.002337), ('through', 0.002337), ('alway', 0.002299), ('venu', 0.002299), ('look', 0.002299), ('go', 0.002262), ('had', 0.002262), ('allow', 0.002262), ('ever', 0.002224), ('cell', 0.002224), ('he', 0.002186), ('friend', 0.002186), ('she', 0.002186), ('unit', 0.002186), ('question', 0.002148), ('good', 0.002148), ('made', 0.002111), ('requir', 0.002073), ('much', 0.002073), ('choic', 0.002073), ('everyon', 0.002073), ('classroom', 0.002073), ('becom', 0.002073), ('well', 0.002035), ('feel', 0.002035), ('problem', 0.002035), ('offer', 0.001998), ('best', 0.001998), ('human', 0.00196), ('thing', 0.00196), ('place', 0.00196), ('doe', 0.001922), ('countri', 0.001922), ('right', 0.001885), ('back', 0.001885), ('extracurricular', 0.001885), ('option', 0.001885), ('today', 0.001885), ('design', 0.001847)]"
14,Lead,Ineffective,"[('you', 0.033138), ('elector', 0.027127), ('i', 0.023736), ('about', 0.016184), ('presid', 0.015259), ('we', 0.014488), ('colleg', 0.01418), ('venu', 0.012793), ('student', 0.012639), ('but', 0.010943), ('some', 0.009556), ('think', 0.009402), ('would', 0.007552), ('should', 0.007552), ('vote', 0.007398), ('if', 0.007244), ('their', 0.006319), ('elect', 0.006319), ('candid', 0.006165), ('will', 0.005549), ('car', 0.005549), ('it', 0.005395), ('process', 0.00524), ('talk', 0.00524), ('tell', 0.00447), ('earth', 0.00447), ('articl', 0.00447), ('project', 0.004316), ('opinion', 0.004162), ('say', 0.004007), ('thing', 0.004007), ('ask', 0.004007), ('lisa', 0.003853), ('requir', 0.003853), ('mona', 0.003699), ('go', 0.003699), ('found', 0.003699), ('good', 0.003545), ('place', 0.003545), ('he', 0.003391), ('human', 0.003391), ('activ', 0.003391), ('realli', 0.003391), ('state', 0.003237), ('express', 0.003237), ('new', 0.003237), ('nasa', 0.003237), ('ever', 0.003083), ('percent', 0.003083), ('chang', 0.003083), ('learn', 0.003083), ('help', 0.003083), ('alien', 0.003083), ('commun', 0.003083), ('popular', 0.003083), ('read', 0.002928), ('today', 0.002928), ('call', 0.002928), ('phone', 0.002928), ('veri', 0.002774), ('feel', 0.002774), ('smile', 0.002774), ('consist', 0.002774), ('servic', 0.002774), ('been', 0.00262), ('author', 0.00262), ('stori', 0.002466), ('her', 0.002466), ('extracurricular', 0.002466), ('be', 0.002466), ('year', 0.002466), ('own', 0.002466), ('idea', 0.002466), ('these', 0.002466), ('congress', 0.002466), ('advic', 0.002466), ('creat', 0.002312), ('here', 0.002312), ('comput', 0.002312), ('happi', 0.002312), ('constitut', 0.002312), ('she', 0.002158), ('hi', 0.002158), ('look', 0.002158), ('had', 0.002158), ('sometim', 0.002158), ('star', 0.002158), ('sun', 0.002158), ('dont', 0.002158), ('well', 0.002158), ('while', 0.002158), ('which', 0.002158), ('write', 0.002158), ('world', 0.002004), ('first', 0.002004), ('break', 0.002004), ('life', 0.002004), ('whether', 0.002004), ('challeng', 0.002004), ('name', 0.002004)]"
15,Position,Adequate,"[('i', 0.063041), ('should', 0.044313), ('think', 0.029956), ('student', 0.027128), ('elector', 0.023442), ('colleg', 0.020228), ('you', 0.018299), ('we', 0.017785), ('would', 0.016285), ('venu', 0.011014), ('believ', 0.010971), ('idea', 0.009557), ('presid', 0.009471), ('chang', 0.009343), ('keep', 0.009171), ('good', 0.009), ('but', 0.008314), ('popular', 0.008314), ('commun', 0.007714), ('phone', 0.007628), ('if', 0.007328), ('elect', 0.007028), ('opinion', 0.0069), ('car', 0.006686), ('servic', 0.0066), ('project', 0.006428), ('landform', 0.006086), ('help', 0.006043), ('author', 0.006043), ('danger', 0.005914), ('use', 0.005486), ('polici', 0.005486), ('benefit', 0.005357), ('state', 0.005271), ('natur', 0.005186), ('class', 0.005186), ('studi', 0.004971), ('their', 0.004843), ('vote', 0.004714), ('unit', 0.004628), ('some', 0.004543), ('will', 0.004414), ('activ', 0.0042), ('cell', 0.0042), ('it', 0.0042), ('agre', 0.004157), ('read', 0.004071), ('worthi', 0.004071), ('veri', 0.004028), ('about', 0.003986), ('say', 0.003943), ('reason', 0.003857), ('particip', 0.003686), ('pursuit', 0.003686), ('despit', 0.003686), ('dure', 0.003557), ('classroom', 0.003471), ('be', 0.003471), ('great', 0.003343), ('feel', 0.003257), ('express', 0.003257), ('explor', 0.003214), ('alien', 0.003128), ('requir', 0.003128), ('allow', 0.003086), ('valuabl', 0.003043), ('design', 0.003043), ('multipl', 0.002957), ('onlin', 0.002914), ('extracurricular', 0.002828), ('program', 0.002786), ('cowboy', 0.002786), ('these', 0.002743), ('well', 0.002657), ('facial', 0.002657), ('learn', 0.002657), ('seat', 0.002657), ('support', 0.002657), ('choic', 0.002657), ('action', 0.002571), ('favor', 0.002571), ('ask', 0.002528), ('teacher', 0.002443), ('realli', 0.002443), ('free', 0.0024), ('bad', 0.002357), ('new', 0.002271), ('while', 0.002229), ('right', 0.002229), ('person', 0.002229), ('challeng', 0.002229), ('code', 0.002229), ('tell', 0.002186), ('me', 0.002143), ('ye', 0.0021), ('limit', 0.002057), ('creat', 0.002057), ('student-design', 0.002014), ('join', 0.002014), ('thing', 0.002014)]"
16,Position,Effective,"[('student', 0.034991), ('should', 0.034264), ('i', 0.030319), ('elector', 0.016509), ('would', 0.016094), ('colleg', 0.015367), ('think', 0.014952), ('you', 0.014433), ('commun', 0.012356), ('we', 0.011214), ('help', 0.010798), ('believ', 0.010487), ('their', 0.010279), ('servic', 0.010175), ('project', 0.008826), ('idea', 0.00841), ('learn', 0.008307), ('chang', 0.008099), ('opinion', 0.008099), ('but', 0.007995), ('will', 0.007684), ('popular', 0.007476), ('benefit', 0.007268), ('activ', 0.006645), ('if', 0.006541), ('multipl', 0.006438), ('presid', 0.006334), ('car', 0.005711), ('vote', 0.005711), ('elect', 0.005607), ('ask', 0.005295), ('good', 0.005192), ('advic', 0.005088), ('venu', 0.004984), ('choic', 0.004984), ('some', 0.004984), ('design', 0.004569), ('requir', 0.004569), ('keep', 0.004465), ('veri', 0.004361), ('while', 0.004361), ('be', 0.004257), ('use', 0.004153), ('author', 0.004153), ('class', 0.004153), ('decis', 0.004049), ('particip', 0.003946), ('onlin', 0.003946), ('teacher', 0.003842), ('educ', 0.003842), ('although', 0.003738), ('reason', 0.003634), ('extracurricular', 0.003634), ('may', 0.003634), ('allow', 0.003634), ('about', 0.00353), ('benefici', 0.00353), ('school', 0.003426), ('best', 0.003115), ('process', 0.003115), ('seek', 0.003115), ('state', 0.003011), ('support', 0.002907), ('these', 0.002907), ('averag', 0.002907), ('danger', 0.002803), ('great', 0.002803), ('own', 0.0027), ('doe', 0.0027), ('much', 0.0027), ('phone', 0.0027), ('unfair', 0.0027), ('well', 0.002596), ('classroom', 0.002596), ('new', 0.002596), ('unit', 0.002596), ('countri', 0.002596), ('explor', 0.002492), ('it', 0.002388), ('year', 0.002388), ('choos', 0.002284), ('must', 0.002284), ('sport', 0.002284), ('give', 0.00218), ('need', 0.00218), ('least', 0.00218), ('right', 0.00218), ('polici', 0.00218), ('world', 0.002077), ('life', 0.002077), ('forc', 0.002077), ('howev', 0.002077), ('perform', 0.002077), ('agre', 0.001973), ('way', 0.001973), ('provid', 0.001973), ('develop', 0.001973), ('futur', 0.001973), ('assign', 0.001973), ('studi', 0.001973)]"
17,Position,Ineffective,"[('i', 0.057244), ('think', 0.025294), ('venu', 0.02485), ('you', 0.023519), ('we', 0.020413), ('should', 0.020413), ('but', 0.016419), ('would', 0.015531), ('good', 0.013091), ('if', 0.012425), ('author', 0.010872), ('elector', 0.010872), ('about', 0.010206), ('some', 0.009763), ('idea', 0.009541), ('colleg', 0.009319), ('student', 0.009097), ('car', 0.008653), ('studi', 0.008431), ('limit', 0.007322), ('explor', 0.006878), ('chang', 0.006434), ('usag', 0.006213), ('help', 0.006213), ('bad', 0.005991), ('danger', 0.005991), ('presid', 0.005991), ('say', 0.005769), ('will', 0.005769), ('believ', 0.005547), ('human', 0.005325), ('advantag', 0.005325), ('feel', 0.005103), ('challeng', 0.004881), ('thing', 0.004881), ('commun', 0.004881), ('it', 0.004659), ('opinion', 0.004659), ('go', 0.004659), ('veri', 0.004438), ('keep', 0.004438), ('comput', 0.004438), ('tell', 0.004216), ('vote', 0.004216), ('tri', 0.003994), ('doe', 0.003994), ('well', 0.003994), ('use', 0.003994), ('their', 0.003772), ('earth', 0.003772), ('right', 0.003772), ('realli', 0.00355), ('dont', 0.00355), ('articl', 0.003328), ('world', 0.003328), ('worthi', 0.003328), ('pursuit', 0.003106), ('support', 0.003106), ('suggest', 0.003106), ('alien', 0.003106), ('life', 0.003106), ('agre', 0.003106), ('be', 0.003106), ('servic', 0.003106), ('may', 0.002884), ('he', 0.002884), ('both', 0.002884), ('live', 0.002663), ('land', 0.002663), ('phone', 0.002663), ('benefit', 0.002663), ('still', 0.002441), ('disagre', 0.002441), ('reason', 0.002441), ('read', 0.002441), ('despit', 0.002441), ('made', 0.002441), ('form', 0.002441), ('ask', 0.002441), ('give', 0.002219), ('might', 0.002219), ('nasa', 0.002219), ('great', 0.002219), ('landform', 0.002219), ('ye', 0.002219), ('that', 0.002219), ('sport', 0.002219), ('popular', 0.002219), ('mean', 0.001997), ('work', 0.001997), ('much', 0.001997), ('program', 0.001997), ('particip', 0.001997), ('put', 0.001997), ('problem', 0.001997), ('mayb', 0.001997), ('stori', 0.001997), ('inform', 0.001997), ('let', 0.001997), ('facial', 0.001997)]"
18,Rebuttal,Adequate,"[('but', 0.041419), ('you', 0.023109), ('would', 0.021972), ('student', 0.021467), ('i', 0.017553), ('if', 0.015785), ('we', 0.013638), ('their', 0.013386), ('elector', 0.010229), ('help', 0.009597), ('should', 0.008966), ('will', 0.008082), ('think', 0.008082), ('learn', 0.00745), ('vote', 0.007072), ('howev', 0.006945), ('some', 0.006819), ('about', 0.006566), ('colleg', 0.00644), ('state', 0.006061), ('teacher', 0.005304), ('still', 0.005051), ('good', 0.004672), ('realli', 0.004546), ('it', 0.004546), ('say', 0.00442), ('may', 0.004293), ('presid', 0.004293), ('thing', 0.004167), ('onlin', 0.004167), ('doe', 0.004041), ('commun', 0.003788), ('which', 0.003662), ('project', 0.003536), ('life', 0.003536), ('these', 0.003536), ('feel', 0.003283), ('problem', 0.003283), ('those', 0.003157), ('nasa', 0.003157), ('phone', 0.003157), ('happen', 0.003157), ('chang', 0.003157), ('class', 0.003157), ('true', 0.003031), ('be', 0.002904), ('alway', 0.002904), ('veri', 0.002904), ('elect', 0.002904), ('dont', 0.002778), ('go', 0.002778), ('best', 0.002778), ('tri', 0.002652), ('look', 0.002652), ('much', 0.002652), ('wrong', 0.002652), ('believ', 0.002652), ('understand', 0.002526), ('well', 0.002526), ('voter', 0.002526), ('choos', 0.002399), ('while', 0.002399), ('bad', 0.002399), ('fact', 0.002399), ('like', 0.002273), ('reason', 0.002273), ('live', 0.002273), ('landform', 0.002273), ('mean', 0.002273), ('candid', 0.002273), ('school', 0.002147), ('might', 0.002147), ('kid', 0.002147), ('pay', 0.002147), ('he', 0.002147), ('everyon', 0.002147), ('alien', 0.002147), ('servic', 0.002147), ('fun', 0.00202), ('right', 0.00202), ('activ', 0.00202), ('design', 0.00202), ('put', 0.00202), ('anoth', 0.00202), ('popular', 0.00202), ('too', 0.001894), ('come', 0.001894), ('though', 0.001894), ('made', 0.001894), ('unfair', 0.001894), ('fair', 0.001894), ('human', 0.001768), ('car', 0.001768), ('let', 0.001768), ('give', 0.001768), ('got', 0.001768), ('use', 0.001768), ('distract', 0.001768), ('allow', 0.001768), ('tell', 0.001768)]"
19,Rebuttal,Effective,"[('student', 0.035093), ('their', 0.020685), ('but', 0.020399), ('would', 0.01612), ('will', 0.01612), ('project', 0.014979), ('if', 0.013695), ('you', 0.011698), ('howev', 0.010699), ('teacher', 0.009986), ('learn', 0.009843), ('elector', 0.009272), ('i', 0.007418), ('colleg', 0.006847), ('doe', 0.005991), ('should', 0.005991), ('about', 0.005849), ('help', 0.005849), ('we', 0.005421), ('assign', 0.005278), ('allow', 0.005278), ('state', 0.005278), ('vote', 0.005278), ('still', 0.005136), ('which', 0.004708), ('these', 0.004708), ('own', 0.004565), ('much', 0.004422), ('may', 0.004422), ('while', 0.004422), ('design', 0.00428), ('candid', 0.003994), ('elect', 0.003994), ('some', 0.003709), ('be', 0.003709), ('onlin', 0.003709), ('popular', 0.003566), ('topic', 0.003281), ('requir', 0.003138), ('year', 0.003138), ('true', 0.003138), ('activ', 0.003138), ('class', 0.003138), ('those', 0.003138), ('say', 0.002996), ('school', 0.002996), ('come', 0.002996), ('well', 0.002853), ('use', 0.002853), ('thing', 0.002853), ('put', 0.00271), ('everyon', 0.00271), ('idea', 0.00271), ('commun', 0.00271), ('presid', 0.00271), ('fact', 0.002568), ('think', 0.002568), ('educ', 0.002425), ('veri', 0.002425), ('break', 0.002425), ('he', 0.002425), ('opportun', 0.002282), ('tri', 0.002282), ('inform', 0.002282), ('distract', 0.002282), ('develop', 0.002282), ('through', 0.002282), ('choos', 0.00214), ('possibl', 0.00214), ('problem', 0.00214), ('life', 0.00214), ('skill', 0.00214), ('particip', 0.00214), ('kid', 0.00214), ('driver', 0.00214), ('need', 0.00214), ('voter', 0.00214), ('environ', 0.00214), ('mean', 0.001997), ('less', 0.001997), ('such', 0.001997), ('situat', 0.001997), ('wrong', 0.001997), ('social', 0.001997), ('good', 0.001854), ('alway', 0.001854), ('themselv', 0.001854), ('although', 0.001854), ('freedom', 0.001854), ('new', 0.001854), ('exampl', 0.001854), ('like', 0.001854), ('happen', 0.001854), ('right', 0.001854), ('servic', 0.001854), ('interest', 0.001712), ('benefit', 0.001712), ('feel', 0.001712), ('again', 0.001712), ('knowledg', 0.001712)]"
20,Rebuttal,Ineffective,"[('but', 0.052802), ('you', 0.035665), ('i', 0.02918), ('we', 0.019453), ('elector', 0.01899), ('if', 0.017601), ('would', 0.015285), ('think', 0.014358), ('colleg', 0.014358), ('presid', 0.013895), ('their', 0.012969), ('about', 0.011579), ('should', 0.01019), ('student', 0.0088), ('believ', 0.008337), ('vote', 0.008337), ('still', 0.007874), ('some', 0.007411), ('doe', 0.006948), ('will', 0.006948), ('thing', 0.006484), ('it', 0.006484), ('go', 0.006021), ('say', 0.005558), ('dont', 0.005558), ('good', 0.005558), ('elect', 0.005558), ('happen', 0.005095), ('right', 0.005095), ('chang', 0.005095), ('alien', 0.004632), ('everyon', 0.004632), ('help', 0.004632), ('phone', 0.004632), ('realli', 0.004632), ('much', 0.004632), ('popular', 0.004169), ('though', 0.003705), ('new', 0.003705), ('me', 0.003705), ('want', 0.003705), ('made', 0.003705), ('state', 0.003705), ('opinion', 0.003705), ('ever', 0.003242), ('mean', 0.003242), ('feel', 0.003242), ('own', 0.003242), ('might', 0.003242), ('tie', 0.003242), ('best', 0.003242), ('never', 0.002779), ('idea', 0.002779), ('actual', 0.002779), ('which', 0.002779), ('els', 0.002779), ('been', 0.002779), ('may', 0.002779), ('matter', 0.002779), ('unit', 0.002779), ('countri', 0.002779), ('repres', 0.002779), ('care', 0.002779), ('life', 0.002316), ('natur', 0.002316), ('tri', 0.002316), ('had', 0.002316), ('while', 0.002316), ('least', 0.002316), ('learn', 0.002316), ('said', 0.002316), ('done', 0.002316), ('he', 0.002316), ('show', 0.002316), ('major', 0.002316), ('wrong', 0.002316), ('reason', 0.002316), ('understand', 0.002316), ('choos', 0.002316), ('stuff', 0.002316), ('candid', 0.002316), ('that', 0.002316), ('voter', 0.002316), ('america', 0.002316), ('well', 0.001853), ('question', 0.001853), ('comput', 0.001853), ('real', 0.001853), ('befor', 0.001853), ('landform', 0.001853), ('bad', 0.001853), ('project', 0.001853), ('bring', 0.001853), ('veri', 0.001853), ('stay', 0.001853), ('commun', 0.001853), ('look', 0.001853), ('great', 0.001853), ('unless', 0.001853), ('noth', 0.001853)]"
